CustomerID,recency,frequency,monetary,r_score,f_score,m_score,rfm_total_score,rfm_Segment
CUST0289,106,7,121.17000000000002,10,10,10,30,Champions
CUST0215,102,6,123.08,10,10,10,30,Champions
CUST0227,106,6,126.89,10,10,10,30,Champions
CUST0264,106,6,126.84,10,10,10,30,Champions
CUST0012,98,9,187.09000000000003,10,10,10,30,Champions
CUST0291,111,6,125.53,9,10,10,29,Champions
CUST0084,115,8,123.51,9,10,10,29,Champions
CUST0029,108,6,130.92,9,10,10,29,Champions
CUST0104,107,6,164.74,9,10,10,29,Champions
CUST0073,99,5,142.38,10,9,10,29,Champions
CUST0226,107,6,103.71000000000001,10,10,9,29,Champions
CUST0177,98,5,122.91,10,9,10,29,Champions
CUST0040,109,6,101.45999999999998,9,10,9,28,Champions
CUST0092,98,5,113.27,10,9,9,28,Champions
CUST0157,118,7,132.83,8,10,10,28,Champions
CUST0262,112,5,121.51000000000002,9,9,10,28,Champions
CUST0063,112,6,96.28,9,10,9,28,Champions
CUST0102,104,5,108.91999999999999,10,9,9,28,Champions
CUST0148,102,5,90.62,10,9,9,28,Champions
CUST0025,114,6,109.94,9,10,9,28,Champions
CUST0017,106,6,90.009999999999991,10,10,8,28,Champions
CUST0039,121,8,167.44000000000003,8,10,10,28,Champions
CUST0130,106,6,70.779999999999987,10,10,7,27,Loyal VIPs
CUST0161,117,8,103.61000000000001,8,10,9,27,Loyal VIPs
CUST0011,127,6,128.10999999999999,8,9,10,27,Loyal VIPs
CUST0117,135,7,150.87000000000003,7,10,10,27,Loyal VIPs
CUST0014,121,6,132.01,8,9,10,27,Loyal VIPs
CUST0178,108,5,114.12,9,9,9,27,Loyal VIPs
CUST0147,113,5,98.48,9,9,9,27,Loyal VIPs
CUST0267,121,6,140.89,8,9,10,27,Loyal VIPs
CUST0042,105,4,106.78,10,8,9,27,Loyal VIPs
CUST0154,125,7,88.16,8,10,8,26,Loyal VIPs
CUST0055,109,5,81.3,9,9,8,26,Loyal VIPs
CUST0108,113,6,72.05,9,10,7,26,Loyal VIPs
CUST0236,100,5,70.13,10,9,7,26,Loyal VIPs
CUST0251,152,7,123.67,6,10,10,26,Loyal VIPs
CUST0077,113,4,91.19,9,8,9,26,Loyal VIPs
CUST0224,123,6,116.16000000000001,8,9,9,26,Loyal VIPs
CUST0153,121,6,92.68,8,9,9,26,Loyal VIPs
CUST0007,125,5,104.63,8,9,9,26,Loyal VIPs
CUST0120,107,5,88.56,9,9,8,26,Loyal VIPs
CUST0089,109,6,60.04,9,10,6,25,Loyal VIPs
CUST0003,113,4,75.75,9,8,8,25,Loyal VIPs
CUST0145,126,5,85.98,8,9,8,25,Loyal VIPs
CUST0179,102,5,55.54,10,9,6,25,Loyal VIPs
CUST0098,160,6,122.55000000000001,6,9,10,25,Loyal VIPs
CUST0143,148,6,170.41,6,9,10,25,Loyal VIPs
CUST0009,150,6,139.02,6,9,10,25,Loyal VIPs
CUST0271,135,5,117.97999999999999,7,8,10,25,Loyal VIPs
CUST0288,139,7,88.53,7,10,8,25,Loyal VIPs
CUST0261,107,6,60.890000000000008,9,10,6,25,Loyal VIPs
CUST0069,104,5,56.24,10,9,6,25,Loyal VIPs
CUST0216,142,5,158.79999999999998,7,8,10,25,Loyal VIPs
CUST0293,176,12,190.97,5,10,10,25,Loyal VIPs
CUST0243,107,4,74.13,9,8,8,25,Loyal VIPs
CUST0111,132,5,108.17999999999999,7,8,9,24,Loyal VIPs
CUST0015,109,5,58.19,9,9,6,24,Loyal VIPs
CUST0001,126,5,64.5,8,9,7,24,Loyal VIPs
CUST0106,112,3,91.44,9,6,9,24,Loyal VIPs
CUST0059,183,7,99.239999999999981,5,10,9,24,Loyal VIPs
CUST0296,143,5,97.41,7,8,9,24,Loyal VIPs
CUST0090,106,5,49.97,10,9,5,24,Loyal VIPs
CUST0269,116,4,70.96,9,8,7,24,Loyal VIPs
CUST0239,118,4,85.9,8,7,8,23,Potential Loyalists
CUST0119,148,5,106.08000000000001,6,8,9,23,Potential Loyalists
CUST0285,245,8,143.59,3,10,10,23,Potential Loyalists
CUST0026,135,4,95.76,7,7,9,23,Potential Loyalists
CUST0082,146,5,88.89,7,8,8,23,Potential Loyalists
CUST0237,161,5,92.72999999999999,6,8,9,23,Potential Loyalists
CUST0131,171,5,131.69,5,8,10,23,Potential Loyalists
CUST0210,108,4,47.96,9,8,5,22,Potential Loyalists
CUST0294,99,3,59.379999999999995,10,6,6,22,Potential Loyalists
CUST0198,147,5,61.879999999999995,7,8,7,22,Potential Loyalists
CUST0270,141,4,83.37,7,7,8,22,Potential Loyalists
CUST0027,131,5,70.66,7,8,7,22,Potential Loyalists
CUST0008,155,4,106.62,6,7,9,22,Potential Loyalists
CUST0220,124,3,73.26,8,6,8,22,Potential Loyalists
CUST0245,107,3,70.49,9,6,7,22,Potential Loyalists
CUST0159,156,5,85.34,6,8,8,22,Potential Loyalists
CUST0150,122,3,90.490000000000009,8,6,8,22,Potential Loyalists
CUST0035,107,3,58.379999999999995,10,6,6,22,Potential Loyalists
CUST0004,210,4,123.07000000000001,4,7,10,21,Potential Loyalists
CUST0257,185,5,84.58,5,8,8,21,Potential Loyalists
CUST0242,170,4,97.14,5,7,9,21,Potential Loyalists
CUST0005,138,4,63.34,7,7,7,21,Potential Loyalists
CUST0152,242,6,92.44,3,9,9,21,Potential Loyalists
CUST0295,137,5,57.31,7,8,6,21,Potential Loyalists
CUST0282,185,6,70.47999999999999,5,9,7,21,Potential Loyalists
CUST0062,102,3,51.039999999999992,10,6,5,21,Potential Loyalists
CUST0166,141,3,98.6,7,5,9,21,Potential Loyalists
CUST0049,98,4,32.14,10,8,3,21,Potential Loyalists
CUST0202,173,5,85.24,5,8,8,21,Potential Loyalists
CUST0114,114,3,57.95,9,6,6,21,Potential Loyalists
CUST0081,106,3,52.34,10,6,5,21,Potential Loyalists
CUST0099,103,2,58.25,10,4,6,20,Potential Loyalists
CUST0223,152,5,61.239999999999995,6,8,6,20,Potential Loyalists
CUST0277,102,3,34.480000000000004,10,6,4,20,Potential Loyalists
CUST0061,114,3,46.61,9,6,5,20,Potential Loyalists
CUST0213,101,3,40.739999999999995,10,6,4,20,Potential Loyalists
CUST0158,214,5,77.509999999999991,4,8,8,20,Potential Loyalists
CUST0093,157,4,64.37,6,7,7,20,Potential Loyalists
CUST0175,190,5,74.77,4,8,8,20,Potential Loyalists
CUST0176,200,4,107.85,4,7,9,20,Potential Loyalists
CUST0060,186,4,88.92,5,7,8,20,Potential Loyalists
CUST0250,121,3,47.449999999999996,8,6,5,19,Promising
CUST0172,139,3,61.62,7,5,7,19,Promising
CUST0076,231,5,75.69,3,8,8,19,Promising
CUST0051,158,3,86.679999999999993,6,5,8,19,Promising
CUST0229,223,4,70.73,4,7,7,18,Promising
